episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
95,9500,0.0,-26.921522906251965,0.0,0.0,0.0,-26.921522906251965,0.0,0.012679433624725789,-0.0038531222380697727,1.5872354209423065,0.938125,,,,,,,,,
96,9600,0.0,-264.1631318812675,0.0,0.0,0.0,-264.1631318812675,0.0,0.012637511448701844,-0.003985316026955843,1.5853614807128906,0.9369999999999999,,,,,,,,,
97,9700,0.0,-93.3047985010963,0.0,0.0,0.0,-93.3047985010963,0.0,0.012417696081683971,0.019718141295015812,1.5840771198272705,0.935875,,,,,,,,,
98,9800,0.0,-506.71025872039877,0.0,0.0,0.0,-506.71025872039877,0.0,0.00400383907253854,0.000474441796541214,1.5565622746944427,0.93475,,,,,,,,,
99,9900,0.0,-189.54349936437515,0.0,0.0,0.0,-189.54349936437515,0.0,0.008566586810047738,-0.03157614357769489,1.5632686913013458,0.933625,,,,,,,,,
100,10000,90.0,-239.11501449813434,30.0,30.0,30.0,-239.11501449813434,9.0,0.014133479387965053,0.017371059861034155,1.5835744142532349,0.9325,7.5,-966.3545115854073,10.5,-240.3043597840362,37.5,-907.9376995427263,0.75,1.05,3.75
101,10100,0.0,-330.1312193185945,0.0,0.0,0.0,-330.1312193185945,0.0,0.007094243337633088,-0.004419432953000069,1.5579075813293457,0.931375,,,,,,,,,
102,10200,150.0,-403.7241274773414,50.0,50.0,50.0,-403.7241274773414,15.0,0.01439967509941198,-0.013655906775966287,1.5831453502178192,0.93025,,,,,,,,,
103,10300,0.0,-122.38597902139831,0.0,0.0,0.0,-122.38597902139831,0.0,0.008279519795905799,-0.030417675152420998,1.5639331638813019,0.929125,,,,,,,,,
104,10400,0.0,-928.882500363705,0.0,0.0,0.0,-928.882500363705,0.0,0.006963234569411725,0.01133353030309081,1.5821559131145477,0.9279999999999999,,,,,,,,,
105,10500,60.0,-104.67939825830737,20.0,20.0,20.0,-104.67939825830737,6.0,0.012474668707000092,-0.02930189110338688,1.5622561573982239,0.926875,,,,,,,,,
106,10600,0.0,-238.24739028510893,0.0,0.0,0.0,-238.24739028510893,0.0,0.009291636539273895,0.013057274278253317,1.5821117758750916,0.92575,,,,,,,,,
107,10700,0.0,-1.8233150622806549,0.0,0.0,0.0,-1.8233150622806549,0.0,0.006850229226984084,-0.007627746090292931,1.5814363360404968,0.924625,,,,,,,,,
108,10800,0.0,-74.79515312331552,0.0,0.0,0.0,-74.79515312331552,0.0,0.009687888930784538,0.016482238424941897,1.581106275320053,0.9235,,,,,,,,,
109,10900,0.0,-700.6274533271318,0.0,0.0,0.0,-700.6274533271318,0.0,0.007693507533986121,0.0021795667707920074,1.5799369513988495,0.922375,,,,,,,,,
110,11000,0.0,-292.48517452146183,0.0,0.0,0.0,-292.48517452146183,0.0,0.006392567418515682,0.020931814797222614,1.580413579940796,0.92125,,,,,,,,,
