update,train_mean_episode_return,eval_mean_episode_return,policy_loss,value_loss,entropy
38,-163.07577601969243,,-0.002707673003897071,5.298601478338242,1.3653180946906407
39,-210.8751835823059,,0.004593752004439011,4.792652030785878,1.3935294797023137
40,-249.58176012635232,-467.7385421216488,-0.003262040864986678,6.34430859486262,1.42581041653951
41,-243.7702271014452,,0.002467683982104063,5.424087742964427,1.4510337859392166
42,-225.62918135225772,,-0.0027477085047091046,4.356434732675552,1.4652329633633296
43,-202.91096616983413,,-0.0040401259902864695,1.6220106184482574,1.4540274888277054
44,-200.97661187648774,,-0.0019785965171953044,2.727013329664866,1.4831884155670803
45,-213.91341698467733,,-0.0018310708304246266,4.224158416191737,1.4608194877703984
46,-207.00820064246653,,-0.0036413343623280525,2.597825566927592,1.467270478606224
47,-265.4543362379074,,0.011515085430194935,9.000368575255075,1.4149967233339946
48,-279.93400832414625,,-0.0021354426086569824,4.4516081511974335,1.4389734864234924
49,-230.18970358371735,,-0.003659259896570196,4.837043056885402,1.4359310815731685
50,-242.67688761353492,-1055.6913103699685,0.0008223411083842317,3.6581937968730927,1.449144313732783
51,-218.5391749113798,,-0.0018961332195128004,7.314890583356221,1.4910319248835247
52,-173.84870060682297,,-0.004980717591630916,5.428861528635025,1.4341775725285213
53,-202.8848019182682,,-0.00042229271881903213,7.513696253299713,1.3505072345336278
54,-227.070621868968,,-0.00204348381763945,6.225904226303101,1.3971797277530034
55,-198.0551602244377,,-0.0010392362407098215,4.800610373417537,1.3855637361605961
56,-181.55020092129706,,-0.0018244978467312951,4.295623977979024,1.4267047146956127
57,-149.7541891872883,,-0.004119490447919816,2.0797827442487082,1.4726387858390808
58,-178.20738627016544,,-0.0006088940038656195,5.68461287021637,1.386987566947937
59,-240.29271102547645,,-0.002211502597977718,5.593897491693497,1.4368543525536854
60,-237.34184502363206,-1109.2801358103752,0.0013069992419332266,4.189701557159424,1.4583100378513336
61,-226.16443181037903,,-0.004310573684051633,2.6870883454879126,1.4487250298261642
62,-224.48138283491136,,-0.003621201632389178,4.274340122938156,1.4454653312762578
63,-209.71829506903887,,-0.00021441102338333926,4.507987727721532,1.429126039147377
64,-286.50924127548933,,0.0023580901324748993,13.565970301628113,1.4269233047962189
65,-319.83274031281474,,-0.0021379828879920146,8.07565842072169,1.4864955395460129
66,-231.2812932521105,,-0.0030921785704170666,5.770248492558797,1.4834184596935909
67,-190.59231649637223,,-0.001188987089941899,5.236293603976567,1.4492662101984024
68,-197.1179851308465,,-0.0035865470999851823,3.176753709713618,1.4492921034495037
69,-251.23726721554993,,-0.0010654267777378361,5.483305027087529,1.4232378800710042
70,-306.35493714213374,-1302.7164429545403,-0.0030847492744214833,6.8166220386823015,1.4340010037024815
71,-291.06903428137304,,-0.004597743158228695,5.650377571582794,1.4745531231164932
72,-253.65400520265104,,-0.0012124742303664486,4.839625716209412,1.4676743497451146
73,-205.07087089419366,,-0.002097514302780231,4.608129858970642,1.4681657900412877
74,-190.35031387805938,,-0.002998499587799112,3.265003810326258,1.462811142206192
75,-209.21073211729527,,-0.002990713265414039,5.157143314679463,1.4684234758218129
76,-192.48485582470894,,-9.254137209306161e-05,3.9173665742079415,1.47396719455719
77,-171.42264558076857,,-0.0018927952041849494,1.5832389642794926,1.4566160986820857
