update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
33,11,520,-27.055609124333863,4.0768561363220215,37.030784606933594,18.90151596069336,8.560323715209961,38.66253662109375,18.744510650634766,6.420770645141602,33.69542694091797,0.844,,
34,11,530,-42.29735001105453,4.213403224945068,35.552528381347656,18.225635528564453,6.705482006072998,33.84662628173828,18.356678009033203,4.694327354431152,30.583030700683594,0.841,,
35,11,540,-54.55526221223099,4.340278625488281,39.97676467895508,19.50070571899414,7.622028350830078,34.88996124267578,19.47699546813965,5.712850093841553,30.93476104736328,0.838,,
36,11,550,-66.29493429281543,6.031330108642578,49.794349670410156,20.9859619140625,8.881510734558105,48.0695915222168,19.801254272460938,7.108705997467041,34.01706314086914,0.835,,
37,12,560,-6.976550840489618,3.948314666748047,43.59571075439453,22.600902557373047,6.941135883331299,43.188594818115234,20.748531341552734,4.547900676727295,31.808692932128906,0.832,,
38,12,570,-15.371446774822694,3.3337924480438232,40.26010513305664,18.309616088867188,6.607182502746582,33.362945556640625,17.98379135131836,5.964338779449463,34.382869720458984,0.829,,
39,12,580,-23.88752296219354,5.336569786071777,50.671199798583984,19.111623764038086,7.102912425994873,33.99757766723633,18.74477767944336,6.489871501922607,31.516677856445312,0.8260000000000001,,
40,12,590,-34.178425735156345,2.9337589740753174,37.79743576049805,19.734331130981445,6.8962178230285645,44.169029235839844,19.085983276367188,5.267791271209717,35.07362747192383,0.823,,
41,12,600,-44.66557076260579,3.2615420818328857,33.633026123046875,20.65438461303711,6.844919204711914,41.8117790222168,20.053207397460938,5.726668357849121,32.18613052368164,0.82,,
42,13,610,-5.4441542711849324,3.3682427406311035,39.00516891479492,18.953502655029297,6.639011383056641,41.35948181152344,17.875341415405273,5.627495288848877,33.803035736083984,0.817,,
43,13,620,-13.069086926687426,4.121819972991943,38.250457763671875,18.89286994934082,7.2502522468566895,43.14478302001953,18.29725456237793,5.984498500823975,32.13258361816406,0.8140000000000001,,
44,13,630,-22.616828124190555,3.8051323890686035,36.62934494018555,18.461502075195312,5.162387371063232,30.54681396484375,18.13494110107422,5.904265880584717,31.38888931274414,0.8109999999999999,,
45,13,640,-32.609215947981866,3.286559820175171,37.5208854675293,19.707677841186523,6.408740520477295,34.43256759643555,18.830507278442383,5.711286544799805,31.1914005279541,0.808,,
46,13,650,-41.5842405596984,2.8758785724639893,36.297882080078125,20.074718475341797,6.757582664489746,44.22579574584961,19.884449005126953,5.123439788818359,34.06779098510742,0.8049999999999999,,
47,14,660,-7.446447381229699,2.8617703914642334,30.946895599365234,19.240877151489258,5.811738967895508,33.373512268066406,18.86803436279297,5.393780708312988,31.56018829345703,0.802,,
48,14,670,-16.770349432616968,2.9821605682373047,34.155696868896484,18.651723861694336,6.840330123901367,43.067047119140625,19.465524673461914,5.373836994171143,34.14821243286133,0.7989999999999999,,
49,14,680,-27.479373005008636,3.0041840076446533,35.51149368286133,19.49284553527832,6.148396968841553,32.6974983215332,18.68755340576172,6.444936275482178,32.04634094238281,0.796,,
50,14,690,-41.336560312971905,2.953800916671753,39.367820739746094,18.601844787597656,5.055661201477051,30.223548889160156,20.386837005615234,5.004994869232178,34.559654235839844,0.7929999999999999,,
51,14,700,-55.825278587158024,2.7805564403533936,30.072214126586914,19.954273223876953,7.17867374420166,40.13921356201172,20.553203582763672,6.12752628326416,35.53525924682617,0.79,,
52,15,710,-14.263251070341974,2.4839508533477783,34.63694763183594,19.47516632080078,5.469700336456299,32.81071090698242,20.593059539794922,5.182124137878418,32.138736724853516,0.787,,
53,15,720,-32.9680730527094,2.9537744522094727,47.20942306518555,18.6768798828125,5.276482582092285,32.65825271606445,19.828144073486328,5.308960437774658,32.333160400390625,0.784,,
54,15,730,-53.9744327699354,2.4275434017181396,36.604408264160156,19.36661148071289,7.209900379180908,39.54213333129883,21.16841697692871,6.107608318328857,35.608177185058594,0.7809999999999999,,
55,15,740,-71.95478160514108,2.7859818935394287,33.28036880493164,21.122377395629883,6.829585552215576,39.44038009643555,21.819042205810547,5.675321578979492,35.09198760986328,0.778,,
56,15,750,-87.45664586923814,3.246730327606201,34.71162796020508,19.730960845947266,7.240049839019775,38.7371711730957,20.0639705657959,6.88947868347168,34.271751403808594,0.775,,
57,16,760,-9.010106091196208,2.5512754917144775,29.251544952392578,20.31906509399414,6.916319847106934,41.251468658447266,20.69368553161621,5.515685558319092,35.66340637207031,0.772,,
58,16,770,-21.36662208271725,3.6174397468566895,39.174835205078125,18.964704513549805,6.116157531738281,34.13903045654297,18.678184509277344,7.463954925537109,33.46318817138672,0.769,,
59,16,780,-34.49507240385591,2.3380136489868164,27.956745147705078,19.827608108520508,6.191637992858887,37.484649658203125,19.89545249938965,5.613996505737305,32.88315200805664,0.766,,
60,16,790,-47.43602933748879,3.091437816619873,36.49925231933594,20.719432830810547,5.464126110076904,37.57622146606445,22.296274185180664,5.272911548614502,34.28882598876953,0.763,,
61,16,800,-60.528858828254315,2.4795870780944824,30.29594612121582,20.726219177246094,5.572569847106934,34.26572036743164,20.689645767211914,5.601771831512451,31.579853057861328,0.76,,
62,17,810,-5.437036048565217,2.4964232444763184,31.482595443725586,20.644840240478516,5.655518531799316,34.78983688354492,20.09149742126465,6.300605773925781,35.03630065917969,0.757,,
63,17,820,-13.245295417583524,1.9600781202316284,30.66053009033203,20.906455993652344,5.904019355773926,34.7969970703125,21.520660400390625,5.486411094665527,35.18931198120117,0.754,,
64,17,830,-28.48076017287201,2.561818838119507,32.91999435424805,21.085542678833008,6.656626224517822,38.449466705322266,20.030216217041016,6.607188701629639,34.461124420166016,0.751,,
65,17,840,-48.023734289661896,1.9587628841400146,35.9187126159668,20.619298934936523,5.223225116729736,38.10061264038086,20.8265380859375,5.688221454620361,34.59245681762695,0.748,,
66,17,850,-65.57239990726568,2.0383834838867188,30.181217193603516,19.019485473632812,6.461244106292725,35.92387008666992,19.37987518310547,5.31540584564209,32.3349494934082,0.745,,
